optimizer,activation,initializer,loss,final_loss,final_accuracy
Nesterov,ELU,He,MSE,0.09511735120372193,0.08531666666666667
Nesterov,ELU,He,MAE,0.1797161704061776,0.10911666666666667
Nesterov,ELU,He,Huber,0.05173926808736471,0.07723333333333333
Nesterov,ELU,LeCun,CrossEntropy,2.268190288949176,0.1779
Nesterov,ELU,LeCun,MSE,0.09081916091941758,0.07958333333333334
Nesterov,ELU,LeCun,MAE,0.18002999453892132,0.08508333333333333
Nesterov,ELU,LeCun,Huber,0.045435701042091575,0.08396666666666666
Nesterov,Swish,Random,CrossEntropy,2.302580737228875,0.08075
Nesterov,Swish,Random,MSE,0.09000013778455862,0.10373333333333333
Nesterov,Swish,Random,MAE,0.18000048944703428,0.11086666666666667
Nesterov,Swish,Random,Huber,0.04499995268655827,0.09768333333333333
Nesterov,Swish,Xavier,CrossEntropy,2.2854168277765625,0.14891666666666667
Nesterov,Swish,Xavier,MSE,0.0899982203486862,0.09723333333333334
Nesterov,Swish,Xavier,MAE,0.17976219926534465,0.11916666666666667
Nesterov,Swish,Xavier,Huber,0.04514832211759409,0.09585
Nesterov,Swish,He,CrossEntropy,2.4132225441019766,0.10495
Nesterov,Swish,He,MSE,0.08988366376023864,0.1229
Nesterov,Swish,He,MAE,0.17974160642059658,0.12571666666666667
Nesterov,Swish,He,Huber,0.04542020287147664,0.07711666666666667
Nesterov,Swish,LeCun,CrossEntropy,2.308130590059028,0.09995
Nesterov,Swish,LeCun,MSE,0.08989016525319808,0.09523333333333334
Nesterov,Swish,LeCun,MAE,0.17988488754189066,0.12478333333333333
Nesterov,Swish,LeCun,Huber,0.044763786843406886,0.17515
Nesterov,GELU,Random,CrossEntropy,2.3026309305721706,0.027
Nesterov,GELU,Random,MSE,0.09000016050244199,0.0666
Nesterov,GELU,Random,MAE,0.17999978634622685,0.10528333333333334
Nesterov,GELU,Random,Huber,0.04500003059551704,0.0987
Nesterov,GELU,Xavier,CrossEntropy,2.29519973437371,0.10476666666666666
Nesterov,GELU,Xavier,MSE,0.0899461266797444,0.12516666666666668
Nesterov,GELU,Xavier,MAE,0.1799543848004304,0.11185
Nesterov,GELU,Xavier,Huber,0.044798257432131325,0.13238333333333333
Nesterov,GELU,He,CrossEntropy,2.3221405705722904,0.11275
Nesterov,GELU,He,MSE,0.09155636594108456,0.0774
Nesterov,GELU,He,MAE,0.17975433666663704,0.1168
Nesterov,GELU,He,Huber,0.04530045583093756,0.13211666666666666
Nesterov,GELU,LeCun,CrossEntropy,2.3207885130258052,0.08136666666666667
Nesterov,GELU,LeCun,MSE,0.08993740762415356,0.09396666666666667
Nesterov,GELU,LeCun,MAE,0.17985819460968308,0.14228333333333334
